product_id,order_date,quantity,country,supplier
LDPE Granule,12/12/2024,44,Bulgaria,Langworth LLC
LDPE Granule,9/28/2024,2,China,"White, Bechtelar and Kuphal"
HDPE Granule,2/11/2025,11,Brazil,Walsh-Hintz
LDPE Granule,4/4/2025,25,Russia,Bernier-McKenzie
PET Flake,9/13/2025,76,Mexico,Marks Group
PET Flake,6/25/2025,65,Finland,Wintheiser-Beahan
HDPE Granule,2/25/2025,89,Indonesia,Berge and Sons
PET Flake,1/17/2024,74,Philippines,Monahan-Christiansen
HDPE Granule,1/27/2024,45,Philippines,Treutel LLC
PET Flake,11/3/2025,75,Russia,Stroman Inc
LDPE Granule,10/11/2025,82,Ukraine,Corkery-Doyle
PET Flake,12/19/2024,26,Honduras,Green-Paucek
HDPE Granule,3/2/2024,15,France,"Williamson, VonRueden and Bosco"
PET Flake,9/23/2024,74,Zambia,King-Kessler
PET Flake,10/14/2025,55,Sweden,Huels-Deckow
LDPE Granule,7/18/2024,80,Philippines,"Huels, Pouros and Durgan"
HDPE Granule,3/11/2025,14,China,"Boehm, Marks and Zboncak"
PET Flake,12/18/2024,57,Kosovo,Stamm-Upton
LDPE Granule,7/20/2025,26,Russia,Rolfson Inc
HDPE Granule,11/10/2025,77,Uzbekistan,"Cruickshank, Stracke and Shields"
LDPE Granule,3/30/2024,52,China,Smith-Walker
HDPE Granule,5/9/2024,64,Mexico,Treutel LLC
HDPE Granule,6/15/2025,76,France,Huel Group
LDPE Granule,10/8/2024,27,South Africa,"Lynch, Veum and Balistreri"
LDPE Granule,11/11/2025,10,Sweden,"Legros, Watsica and Kertzmann"
LDPE Granule,9/19/2025,80,China,"Prohaska, Sawayn and Funk"
PET Flake,9/16/2025,41,Finland,"Huels, Flatley and Mosciski"
LDPE Granule,4/3/2024,50,China,"Bergnaum, White and Oberbrunner"
HDPE Granule,6/1/2025,56,Indonesia,"Cruickshank, Mann and Gleichner"
HDPE Granule,10/4/2025,21,Greece,"Blick, Conn and Rippin"
LDPE Granule,12/9/2024,36,Philippines,Powlowski LLC
